YEAR,IOTC_CODE,VESSEL_NAME,GEAR,VESSEL_TYPE,FLEET,LOA,GT
2019,IOTC016190,KERSAINT,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),40,424
2020,IOTC016190,KERSAINT,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),40,424
2018,IOTC016190,GIBELE,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Italy (EU),40,424
2011,IOTC003599,ATHENEA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,38.49,488
2011,IOTC000813,TXORI,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,32.16,315
2011,IOTC000913,TXORI BAT,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,35.13,421
2014,IOTC000813,TXORI,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,32.16,315
2014,IOTC000913,TXORI BAT,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,35.13,421
2014,IOTC003599,ATHENEA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,38.49,488
2014,IOTC015116,ALBA UNO,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,30,281
2014,IOTC015486,EXPLORER II,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,36.35,355
2014,IOTC015488,TAKAMAKA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,45,472
2016,IOTC000894,PATUDO,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,44.05,393
2016,IOTC000813,TXORI,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,32.16,315
2016,IOTC000913,TXORI BAT,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,35.13,421
2016,IOTC015116,ALBA UNO,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,30,281
2016,IOTC015488,TAKAMAKA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,45,472
2016,IOTC016256,MALOYA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,30,366
2016,IOTC015486,EXPLORER II,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,36.35,355
2016,IOTC016405,HAIZEA LAU,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,46.3,482
2016,IOTC016462,TXORI LAU,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,34.73,499
2018,IOTC000894,PATUDO,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Seychelles,44.05,393
2018,IOTC015792,GARBOLA,Supply Vessel Purse Seiners, Supply vessel (purse seiners),Spain (EU),40,424
2018,IOTC00677,JEAN LOUIS RAPHAEL 2,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),41.9,286
2019,IOTC00677,JEAN LOUIS RAPHAEL 2,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),41.9,286
2016,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
2017,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
2018,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
2019,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
2020,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
2021,IOTC00818,JANVIER LOUIS RAPHAEL,Supply Vessel Purse Seiners, Supply vessel (purse seiners),France (EU),38,347
